AcX,AcY,AcZ,HR,Magnitude,SPO2,Temp,docId
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0,0,0",4294160583
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0,0,0",4294161587
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0,0,0",4294162589
"0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0,0,0,0,0",4294163592
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0",4294164595
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0",4294165599
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0,0",4294166600
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0,0",4294167603
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0,0,0",4294168610
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0",4294169614
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","30,30,30,30,30,30,30,30,30,30,30","0,0,0,0,0,0,0,0,0,0,0",,"0,0,0,0,0,0,0,0,0,0,0",4294170618
