timestamp,hr_bpm,rr_ms,ax,ay,az,temp
0.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
0.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
0.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
0.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
0.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
1.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
1.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
1.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
1.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
1.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
2.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
2.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
2.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
2.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
2.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
3.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
3.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
3.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
3.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
3.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
4.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
4.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
4.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
4.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
4.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
5.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
5.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
5.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
5.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
5.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
6.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
6.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
6.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
6.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
6.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
7.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
7.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
7.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
7.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
7.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
8.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
8.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
8.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
8.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
8.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
9.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
9.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
9.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
9.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
9.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
10.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
10.2,93.0,645.1612903225806,0.0,0.0,0.0,0.0
10.4,93.0,645.1612903225806,0.0,0.0,0.0,0.0
10.6,93.0,645.1612903225806,0.0,0.0,0.0,0.0
10.8,93.0,645.1612903225806,0.0,0.0,0.0,0.0
11.0,93.0,645.1612903225806,0.0,0.0,0.0,0.0
